Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170529,14,12,20.56,4,50.00%,35.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170528,14,13,36.17,2,50.00%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170527,22,17,65.47,5,40.00%,13.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170526,19,16,104.13,3,66.67%,15.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170525,25,19,131.81,6,33.33%,16.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170524,27,24,63.70,5,40.00%,14.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170523,27,20,31.68,6,0.00%,18.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170522,35,32,91.72,7,28.57%,17.14%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170521,21,21,30.05,4,0.00%,9.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170520,16,16,74.92,6,16.67%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170519,18,16,62.86,7,57.14%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170518,48,37,93.08,11,54.55%,20.83%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170517,28,22,86.96,3,66.67%,17.86%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170516,21,17,22.35,3,33.33%,4.76%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170515,50,34,50.24,9,11.11%,16.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170514,11,11,29.90,2,50.00%,9.09%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170513,10,9,128.20,0,0.00%,0.00%,0.00
